surname,name,fullname,gender
Ibrahim,Nur,Nur Ibrahim,F
Ibrahim,Nurul,Nurul Ibrahim,F
Ibrahim,Noor,Noor Ibrahim,F
Ibrahim,Siti,Siti Ibrahim,F
Ibrahim,Dayang,Dayang Ibrahim,F
Ibrahim,Sharifah,Sharifah Ibrahim,F
Ibrahim,Aisha,Aisha Ibrahim,F
Ibrahim,Farah,Farah Ibrahim,F
Ibrahim,Mira,Mira Ibrahim,F
Ibrahim,Hazlina,Hazlina Ibrahim,F
Ibrahim,Zuriana,Zuriana Ibrahim,F
Ibrahim,Aishah,Aishah Ibrahim,F
Ibrahim,Noora,Noora Ibrahim,F
Ibrahim,Zara,Zara Ibrahim,F
Ibrahim,Zubaida,Zubaida Ibrahim,F
Osman,Nur,Nur Osman,F
Osman,Nurul,Nurul Osman,F
Osman,Noor,Noor Osman,F
Osman,Siti,Siti Osman,F
Osman,Dayang,Dayang Osman,F
Osman,Sharifah,Sharifah Osman,F
Osman,Aisha,Aisha Osman,F
Osman,Farah,Farah Osman,F
Osman,Mira,Mira Osman,F
Osman,Hazlina,Hazlina Osman,F
Osman,Zuriana,Zuriana Osman,F
Osman,Aishah,Aishah Osman,F
Osman,Noora,Noora Osman,F
Osman,Zara,Zara Osman,F
Osman,Zubaida,Zubaida Osman,F
Aidan,Nur,Nur Aidan,F
Aidan,Nurul,Nurul Aidan,F
Aidan,Noor,Noor Aidan,F
Aidan,Siti,Siti Aidan,F
Aidan,Dayang,Dayang Aidan,F
Aidan,Sharifah,Sharifah Aidan,F
Aidan,Aisha,Aisha Aidan,F
Aidan,Farah,Farah Aidan,F
Aidan,Mira,Mira Aidan,F
Aidan,Hazlina,Hazlina Aidan,F
Aidan,Zuriana,Zuriana Aidan,F
Aidan,Aishah,Aishah Aidan,F
Aidan,Noora,Noora Aidan,F
Aidan,Zara,Zara Aidan,F
Aidan,Zubaida,Zubaida Aidan,F
Mohammed,Nur,Nur Mohammed,F
Mohammed,Nurul,Nurul Mohammed,F
Mohammed,Noor,Noor Mohammed,F
Mohammed,Siti,Siti Mohammed,F
Mohammed,Dayang,Dayang Mohammed,F
Mohammed,Sharifah,Sharifah Mohammed,F
Mohammed,Aisha,Aisha Mohammed,F
Mohammed,Farah,Farah Mohammed,F
Mohammed,Mira,Mira Mohammed,F
Mohammed,Hazlina,Hazlina Mohammed,F
Mohammed,Zuriana,Zuriana Mohammed,F
Mohammed,Aishah,Aishah Mohammed,F
Mohammed,Noora,Noora Mohammed,F
Mohammed,Zara,Zara Mohammed,F
Mohammed,Zubaida,Zubaida Mohammed,F
Yusof,Nur,Nur Yusof,F
Yusof,Nurul,Nurul Yusof,F
Yusof,Noor,Noor Yusof,F
Yusof,Siti,Siti Yusof,F
Yusof,Dayang,Dayang Yusof,F
Yusof,Sharifah,Sharifah Yusof,F
Yusof,Aisha,Aisha Yusof,F
Yusof,Farah,Farah Yusof,F
Yusof,Mira,Mira Yusof,F
Yusof,Hazlina,Hazlina Yusof,F
Yusof,Zuriana,Zuriana Yusof,F
Yusof,Aishah,Aishah Yusof,F
Yusof,Noora,Noora Yusof,F
Yusof,Zara,Zara Yusof,F
Yusof,Zubaida,Zubaida Yusof,F
Ishak,Nur,Nur Ishak,F
Ishak,Nurul,Nurul Ishak,F
Ishak,Noor,Noor Ishak,F
Ishak,Siti,Siti Ishak,F
Ishak,Dayang,Dayang Ishak,F
Ishak,Sharifah,Sharifah Ishak,F
Ishak,Aisha,Aisha Ishak,F
Ishak,Farah,Farah Ishak,F
Ishak,Mira,Mira Ishak,F
Ishak,Hazlina,Hazlina Ishak,F
Ishak,Zuriana,Zuriana Ishak,F
Ishak,Aishah,Aishah Ishak,F
Ishak,Noora,Noora Ishak,F
Ishak,Zara,Zara Ishak,F
Ishak,Zubaida,Zubaida Ishak,F
Bintang,Nur,Nur Bintang,F
Bintang,Nurul,Nurul Bintang,F
Bintang,Noor,Noor Bintang,F
Bintang,Siti,Siti Bintang,F
Bintang,Dayang,Dayang Bintang,F
Bintang,Sharifah,Sharifah Bintang,F
Bintang,Aisha,Aisha Bintang,F
Bintang,Farah,Farah Bintang,F
Bintang,Mira,Mira Bintang,F
Bintang,Hazlina,Hazlina Bintang,F
Bintang,Zuriana,Zuriana Bintang,F
Bintang,Aishah,Aishah Bintang,F
Bintang,Noora,Noora Bintang,F
Bintang,Zara,Zara Bintang,F
Bintang,Zubaida,Zubaida Bintang,F
Fazura,Nur,Nur Fazura,F
Fazura,Nurul,Nurul Fazura,F
Fazura,Noor,Noor Fazura,F
Fazura,Siti,Siti Fazura,F
Fazura,Dayang,Dayang Fazura,F
Fazura,Sharifah,Sharifah Fazura,F
Fazura,Aisha,Aisha Fazura,F
Fazura,Farah,Farah Fazura,F
Fazura,Mira,Mira Fazura,F
Fazura,Hazlina,Hazlina Fazura,F
Fazura,Zuriana,Zuriana Fazura,F
Fazura,Aishah,Aishah Fazura,F
Fazura,Noora,Noora Fazura,F
Fazura,Zara,Zara Fazura,F
Fazura,Zubaida,Zubaida Fazura,F
Wahb,Nur,Nur Wahb,F
Wahb,Nurul,Nurul Wahb,F
Wahb,Noor,Noor Wahb,F
Wahb,Siti,Siti Wahb,F
Wahb,Dayang,Dayang Wahb,F
Wahb,Sharifah,Sharifah Wahb,F
Wahb,Aisha,Aisha Wahb,F
Wahb,Farah,Farah Wahb,F
Wahb,Mira,Mira Wahb,F
Wahb,Hazlina,Hazlina Wahb,F
Wahb,Zuriana,Zuriana Wahb,F
Wahb,Aishah,Aishah Wahb,F
Wahb,Noora,Noora Wahb,F
Wahb,Zara,Zara Wahb,F
Wahb,Zubaida,Zubaida Wahb,F
Razak,Nur,Nur Razak,F
Razak,Nurul,Nurul Razak,F
Razak,Noor,Noor Razak,F
Razak,Siti,Siti Razak,F
Razak,Dayang,Dayang Razak,F
Razak,Sharifah,Sharifah Razak,F
Razak,Aisha,Aisha Razak,F
Razak,Farah,Farah Razak,F
Razak,Mira,Mira Razak,F
Razak,Hazlina,Hazlina Razak,F
Razak,Zuriana,Zuriana Razak,F
Razak,Aishah,Aishah Razak,F
Razak,Noora,Noora Razak,F
Razak,Zara,Zara Razak,F
Razak,Zubaida,Zubaida Razak,F
Nurhaliza,Nur,Nur Nurhaliza,F
Nurhaliza,Nurul,Nurul Nurhaliza,F
Nurhaliza,Noor,Noor Nurhaliza,F
Nurhaliza,Siti,Siti Nurhaliza,F
Nurhaliza,Dayang,Dayang Nurhaliza,F
Nurhaliza,Sharifah,Sharifah Nurhaliza,F
Nurhaliza,Aisha,Aisha Nurhaliza,F
Nurhaliza,Farah,Farah Nurhaliza,F
Nurhaliza,Mira,Mira Nurhaliza,F
Nurhaliza,Hazlina,Hazlina Nurhaliza,F
Nurhaliza,Zuriana,Zuriana Nurhaliza,F
Nurhaliza,Aishah,Aishah Nurhaliza,F
Nurhaliza,Noora,Noora Nurhaliza,F
Nurhaliza,Zara,Zara Nurhaliza,F
